Date,Open,High,Low,Close,High_Last_7_Days,Days_Since_High_Last_7_Days,%_Diff_From_High_Last_7_Days,Low_Last_7_Days,Days_Since_Low_Last_7_Days,%_Diff_From_Low_Last_7_Days,High_Next_5_Days,%_Diff_From_High_Next_5_Days,Low_Next_5_Days,%_Diff_From_Low_Next_5_Days
23-12-2023,43849.6996,44003.69602,43849.6996,44003.69602,44003.69602,-309,0,41410.81963,-309,6.261350077,44003.69602,0,42516.42694,3.498104588
24-12-2023,44003.69602,44003.69602,43752.03088,43752.03088,44003.69602,-308,-0.571918179,41410.81963,-308,5.653622099,43752.03088,0,42516.42694,2.906180113
25-12-2023,43752.03088,43752.03088,43034.97106,43034.97106,44003.69602,-307,-2.201462709,41410.81963,-307,3.922046081,43638.2363,-1.382423513,42074.70716,2.282283043
26-12-2023,43034.97106,43638.2363,43034.97106,43638.2363,44003.69602,-306,-0.830520507,42250.20618,-306,3.285262357,43638.2363,0,42074.70716,3.716078499
27-12-2023,43638.2363,43638.2363,42516.42694,42516.42694,44003.69602,-305,-3.379873092,42250.20618,-305,0.630105227,43418.46778,-2.077551054,42074.70716,1.049846366
28-12-2023,42516.42694,43418.46778,42516.42694,43418.46778,44003.69602,-304,-1.32995248,42516.42694,-304,2.121628979,44168.68119,-1.698518932,42074.70716,3.19374919
29-12-2023,43418.46778,43418.46778,42600.65063,42600.65063,44003.69602,-303,-3.188471686,42516.42694,-303,0.198096827,44994.67389,-5.320681421,42074.70716,1.250022906
30-12-2023,42600.65063,42600.65063,42074.70716,42074.70716,44003.69602,-302,-4.383697371,42074.70716,-302,0,44994.67389,-6.489583052,42074.70716,0
31-12-2023,42074.70716,42220.6114,42074.70716,42220.6114,43752.03088,-301,-3.50022491,42074.70716,-301,0.346774238,44994.67389,-6.165313016,42208.20218,0.029400032
01-01-2024,42220.6114,42220.6114,42208.20218,42208.20218,43638.2363,-300,-3.277020905,42074.70716,-300,0.317280925,44994.67389,-6.192892336,42208.20218,0
02-01-2024,42208.20218,44168.68119,42208.20218,44168.68119,44168.68119,-299,0,42074.70716,-299,4.976800012,44994.67389,-1.83575661,42821.55899,3.145897136
03-01-2024,44168.68119,44994.67389,44168.68119,44994.67389,44994.67389,-298,0,42074.70716,-298,6.939957347,44994.67389,0,42821.55899,5.074814997
04-01-2024,44994.67389,44994.67389,42821.55899,42821.55899,44994.67389,-297,-4.829715853,42074.70716,-297,1.775061274,46936.18556,-8.766427273,42821.55899,0
05-01-2024,42821.55899,44195.57856,42821.55899,44195.57856,44994.67389,-296,-1.77597759,42074.70716,-296,5.040727671,46936.18556,-5.839006656,43883.74388,0.710592706
06-01-2024,44195.57856,44195.57856,44113.69973,44113.69973,44994.67389,-295,-1.957952079,42074.70716,-295,4.846124229,46936.18556,-6.013453785,43883.74388,0.524011478
07-01-2024,44113.69973,44113.69973,43956.12072,43956.12072,44994.67389,-294,-2.308169123,42208.20218,-294,4.141182166,46936.18556,-6.349184128,43883.74388,0.164928586
08-01-2024,43956.12072,43956.12072,43883.74388,43883.74388,44994.67389,-293,-2.46902558,42208.20218,-293,3.969706399,46936.18556,-6.50338677,42893.92961,2.307585905
09-01-2024,43883.74388,46936.18556,43883.74388,46936.18556,46936.18556,-292,0,42821.55899,-292,9.608773406,46936.18556,0,42848.47452,9.539921995
10-01-2024,46936.18556,46936.18556,46105.94608,46105.94608,46936.18556,-291,-1.768868674,42821.55899,-291,7.66993815,46632.31315,-1.128760369,41800.93282,10.29884494
11-01-2024,46105.94608,46632.31315,46105.94608,46632.31315,46936.18556,-290,-0.647416081,42821.55899,-290,8.89914858,46632.31315,0,41800.93282,11.55806821
12-01-2024,46632.31315,46632.31315,46314.35554,46314.35554,46936.18556,-289,-1.324841404,43883.74388,-289,5.538751819,46314.35554,0,41800.93282,10.79742105
13-01-2024,46314.35554,46314.35554,42893.92961,42893.92961,46936.18556,-288,-8.612237887,42893.92961,-288,0,43148.00164,-0.588838482,41800.93282,2.614766489
14-01-2024,42893.92961,42893.92961,42848.47452,42848.47452,46936.18556,-287,-8.709082334,42848.47452,-287,0,43148.00164,-0.694185398,41261.3948,3.846403463
15-01-2024,42848.47452,42848.47452,41800.93282,41800.93282,46936.18556,-286,-10.94092474,41800.93282,-286,0,43148.00164,-3.121972676,41261.3948,1.307609756
